Neighborhood,Fish Frys,Fish Fry Score,Zip,Total Score Before,Total Score after,Ranking
Carrick,2,0.167,,1.596936,1.763936,1
Brookline,1,0,,1.401822,1.401822,8
Beechview,4,0.5,,1.217577,1.717577,2
Knoxville,0,0,,1.203721,1.203721,15
Sheraden,2,0.167,,1.182634,1.349634,10
Homewood North,2,0.167,,1.132043,1.299043,11
East Hills,2,0.167,,1.123357,1.290357,12
Lincoln-Lemington-Belmar,4,0.5,"15,206",1.101177,1.601177,3
Hazelwood,2,0.167,15207,1.056116,1.223116,13
Homewood South,2,0.167,15221,1.03741,1.20441,14
Marshall-Shadeland,4,0.5,15212,1.016326,1.516326,4
Perry South,4,0.5,,1.008594,1.508594,5
Garfield,1,0,,1.001794,1.001794,18
Beltzhoover,0,0,,0.966429,0.966429,19
Crafton Heights,2,0.167,,0.966031,1.133031,16
Brighton Heights,4,0.5,,0.964002,1.464002,6
Larimer,4,0.5,,0.947078,1.447078,7
Allentown,0,0,,0.944188,0.944188,20
Elliott,2,0.167,,0.888867,1.055867,17
East Liberty,4,0.5,,0.883789,1.383789,9
