Neighborhood,cost_of_living_score
West End,0.8320306366649305
Beltzhoover,0.7820939817968692
Spring Garden,0.7760689145380331
Larimer,0.7540396108273422
Homewood West,0.7432020874795043
St. Clair,0.7312669186624047
Allentown,0.7289982388528011
Knoxville,0.7258733566066238
Elliott,0.717189482668228
Lincoln-Lemington-Belmar,0.7087721144000207
East Hills,0.6826920684756818
Homewood North,0.6755554403891588
Homewood South,0.6695301899552557
Perry South,0.6676130804696695
Bluff,0.6625337587460025
Mt. Oliver,0.6587442936559144
Upper Hill,0.6568490966854557
Marshall-Shadeland,0.6563581381386621
Fineview,0.6452954183139525
Sheraden,0.6430767898687938
Upper Lawrenceville,0.64245628887544
Troy Hill,0.639976557418195
Arlington,0.626959848116086
Hazelwood,0.617033251976533
Middle Hill,0.615549401182257
Polish Hill,0.6016832241679697
Garfield,0.5998950373825958
Spring Hill-City View,0.5996051252749363
Beechview,0.598905672632237
Carrick,0.5969355502660847
Manchester,0.5888719813338568
Hays,0.581177003099574
Windgap,0.5660378209936606
Bon Air,0.5651367000396548
Terrace Village,0.5649022225440108
Perry North,0.5642021685909505
Central Lawrenceville,0.5599837227855999
East Allegheny,0.556254798817637
Esplen,0.5546323612211602
South Side Slopes,0.5545828229322817
Lower Lawrenceville,0.5497341912270698
Crafton Heights,0.5491007833602953
Mount Washington,0.5460249573530049
West Oakland,0.5357169557980247
Overbrook,0.5311481360089851
Point Breeze North,0.5201050953668751
Westwood,0.5132774700298576
East Liberty,0.5008781065804295
Lincoln Place,0.5007233173239211
Brighton Heights,0.5003942724059176
Morningside,0.49906190714094706
Ridgemont,0.4973402370886723
Chartiers City,0.4953014732812151
Stanton Heights,0.4911668301576208
Brookline,0.4864741036033857
East Carnegie,0.48311160238652767
Duquesne Heights,0.45629573184160105
Bloomfield,0.4558269200993044
South Oakland,0.4464097434979309
Greenfield,0.44637219622168245
Swisshelm Park,0.410641164193469
Central Northside,0.38892910181016116
California-Kirkbride,0.38831124717292104
Summer Hill,0.38070480525632683
Banksville,0.3584422174504156
New Homestead,0.35826019365534584
Arlington Heights,0.3385480645783585
Bedford Dwellings,0.32449380409649525
Oakwood,0.3055923886770339
Crawford-Roberts,0.28036447281091287
Highland Park,0.22599193885533078
Central Business District,0.20615436580949098
Allegheny West,0.17947603400995074
Allegheny Center,0.17745774737109635
Fairywood,0.17428274018734627
South Side Flats,0.15377861024386932
Strip District,0.12663153827166107
Regent Square,0.07791064068232618
Central Oakland,0.06099734604019581
Squirrel Hill South,0.019627575957437388
North Oakland,-0.03920677262694934
Friendship,-0.04153169486430728
Point Breeze,-0.060388329110022995
Shadyside,-0.23425515198584457
Squirrel Hill North,-0.4170480863908448
