Neighborhood,Enrollment_Score
Carrick,1.0
Brookline,0.9153481012658228
Beechview,0.6186708860759493
Sheraden,0.5395569620253164
Squirrel Hill South,0.5276898734177216
Knoxville,0.4778481012658228
Brighton Heights,0.46360759493670883
Homewood North,0.4564873417721519
East Hills,0.44066455696202533
Hazelwood,0.43908227848101267
Crafton Heights,0.41693037974683544
Northview Heights,0.4074367088607595
Garfield,0.40189873417721517
Lincoln-Lemington-Belmar,0.3924050632911392
East Liberty,0.3829113924050633
Greenfield,0.37579113924050633
Mt. Oliver Borough,0.3694620253164557
Homewood South,0.36787974683544306
Marshall-Shadeland,0.3599683544303797
Perry South,0.34098101265822783
Highland Park,0.31645569620253167
Mount Washington,0.314873417721519
Terrace Village,0.307753164556962
Perry North,0.3045886075949367
Stanton Heights,0.25316455696202533
Squirrel Hill North,0.25
Point Breeze,0.2412974683544304
Wilkinsburg Borough,0.23022151898734178
Allentown,0.21518987341772153
Westwood,0.20332278481012658
Overbrook,0.19936708860759494
Bloomfield,0.19699367088607594
Larimer,0.1930379746835443
Beltzhoover,0.1843354430379747
Spring Hill-City View,0.17958860759493672
Lincoln Place,0.17800632911392406
Elliott,0.17167721518987342
Middle Hill,0.17088607594936708
Crawford-Roberts,0.17088607594936708
Bedford Dwellings,0.16455696202531644
Shadyside,0.16218354430379747
Arlington,0.13528481012658228
Morningside,0.13212025316455697
South Side Slopes,0.1305379746835443
Banksville,0.125
Manchester,0.11867088607594936
Central Northside,0.10917721518987342
Upper Hill,0.10443037974683544
Troy Hill,0.10205696202531646
Central Lawrenceville,0.09651898734177215
Point Breeze North,0.0925632911392405
Homewood West,0.08386075949367089
California-Kirkbride,0.08306962025316456
Upper Lawrenceville,0.07911392405063292
Windgap,0.07753164556962025
South Side Flats,0.07674050632911393
Fineview,0.06724683544303797
Fairywood,0.058544303797468354
Lower Lawrenceville,0.05458860759493671
Allegheny Center,0.05379746835443038
Duquesne Heights,0.051424050632911396
South Oakland,0.05063291139240506
Mount Oliver,0.04509493670886076
East Allegheny,0.04509493670886076
Glen Hazel,0.04430379746835443
Spring Garden,0.03955696202531646
Oakwood,0.038765822784810125
New Homestead,0.03639240506329114
Bon Air,0.03243670886075949
Friendship,0.030854430379746837
West Oakland,0.030854430379746837
Summer Hill,0.022943037974683545
Bluff,0.022151898734177215
Hays,0.022151898734177215
Swisshelm Park,0.0189873417721519
Polish Hill,0.01740506329113924
Regent Square,0.011867088607594937
Arlington Heights,0.007120253164556962
West End,0.003955696202531646
Chartiers City,0.0023734177215189874
Saint Clair,0.0007911392405063291
East Carnegie,0.0
