OBJECTID,ZIP,NAME,ZIPTYPE,STATE,SHAPESTArea,SHAPESTLength
4,15007,BAKERSTOWN,NON-UNIQUE,PA,13371212.0413889,20129.3082638093
5,15014,BRACKENRIDGE,NON-UNIQUE,PA,21119790.3865087,23831.019845032
6,15015,BRADFORD WOODS,NON-UNIQUE,PA,26137182.6725348,33453.265111545
8,15018,BUENA VISTA,NON-UNIQUE,PA,60962334.108536,76803.3224516347
14,15034,DRAVOSBURG,NON-UNIQUE,PA,29350042.0155179,26075.2453471712
15,15030,CREIGHTON,NON-UNIQUE,PA,45884665.3059865,61149.2342386108
19,15035,EAST MCKEESPORT,NON-UNIQUE,PA,11959237.5673251,18567.547147202
23,15046,CRESCENT,NON-UNIQUE,PA,62264378.958533,41170.1956733411
25,15049,HARWICK,NON-UNIQUE,PA,19216363.9926071,24667.7450664353
30,15064,MORGAN,NON-UNIQUE,PA,16646642.4841198,35948.4832037163
38,15082,STURGEON,PO BOX,PA,5306381.79735101,17284.0444303506
49,15110,DUQUESNE,NON-UNIQUE,PA,56208490.342716,33842.8452168234
50,15112,EAST PITTSBURGH,NON-UNIQUE,PA,22348819.8868688,30176.0545915
55,15129,SOUTH PARK,NON-UNIQUE,PA,209465001.345155,90288.4157612974
56,15131,MCKEESPORT,NON-UNIQUE,PA,190600617.991672,109901.052032547
57,15132,MCKEESPORT,NON-UNIQUE,PA,175602196.61206,89817.9235911521
58,15133,MCKEESPORT,NON-UNIQUE,PA,96766099.9063924,54365.2393610498
59,15135,MCKEESPORT,NON-UNIQUE,PA,109202620.017351,78385.7588918492
61,15137,NORTH VERSAILLES,NON-UNIQUE,PA,220384647.414944,110124.003259895
66,15144,SPRINGDALE,NON-UNIQUE,PA,74392817.7624898,52397.3781367062
70,15148,WILMERDING,NON-UNIQUE,PA,38116626.2475164,47791.7801614672
73,15203,PITTSBURGH,NON-UNIQUE,PA,48127624.9935398,46973.9942056031
81,15211,PITTSBURGH,NON-UNIQUE,PA,43394972.3712154,35501.9101473067
83,15213,PITTSBURGH,NON-UNIQUE,PA,73482034.0581531,92225.9210339522
94,15224,PITTSBURGH,NON-UNIQUE,PA,27721638.102244,34226.7747434223
95,15225,PITTSBURGH,NON-UNIQUE,PA,65384476.0358151,58702.9985913609
100,15232,PITTSBURGH,NON-UNIQUE,PA,23204537.5136473,38758.2827803011
107,15239,PITTSBURGH,NON-UNIQUE,PA,476071227.427622,146433.919821405
112,15275,PITTSBURGH,UNIQUE,PA,38047079.745397,55048.426831088
113,15290,PITTSBURGH,UNIQUE,PA,943405.114964006,4925.95606172638
154,15006,BAIRDFORD,PO BOX,PA,3715174.44163855,16947.8750802743
183,15051,INDIANOLA,NON-UNIQUE,PA,12021031.8323926,18256.1633739513
