_id,validated,venue_name,venue_type,venue_address,website,events,etc,menu_url,menu_text,venue_notes,phone,email,homemade_pierogies,take_out,alcohol,lunch,handicap,publish,id,latitude,longitude,events_json
6799,t,Christ the Divine Teacher Academy,Church,"205 Brilliant Avenue, Aspinwall, Pennsylvania 15215, United States",https://cdtca-ptg.square.site/,"Friday Feb 20 from 4:00 PM to 7:00 PM, Friday Mar 20 from 4:00 PM to 7:00 PM","LUNCH/Take-Out Only from/11:00am - 1:00pm//DINNER/*Online take-out orders accepted from 3:30-5:00pm/*Dine-In from 4-7:00pm/*In-person take-out orders from 4-7:00pm//**If take-out order online, please select pick-up time at/check-out.**//Online Food Orders will be/accepted starting at/9:00am on Friday,/March 7th. Only available through 5:00pm.",,,,412-781-7927,,,t,,t,,t,,40.491185,-79.90099,"[{""dt_start"": ""2026-02-20T16:00:00"", ""dt_end"": ""2026-02-20T19:00:00""}, {""dt_start"": ""2026-03-20T16:00:00"", ""dt_end"": ""2026-03-20T19:00:00""}]"
6800,t,Spitfirez Catering at the Monroeville American Legion,Restaurant,"320 Marguerite Avenue, Wilmerding, Pennsylvania 15148, United States",https://sites.google.com/spitfirez.com/catering/lenten-fish-fry?fbclid=IwY2xjawP_KkVleHRuA2FlbQIxMABicmlkETJlTEVKb1Q4ZU1GUlFWVFNyc3J0YwZhcHBfaWQPNTE0NzcxNTY5MjI4MDYxAAEenF-x9M15qPNafjEIJrhBS1Tv6PhIJCWWoMICUwxWigjKC0NyKW-zr24ptaw_aem_0BYpCf1B_KJMB_oVit6apA,"Wednesday Feb 18 from 3:00 PM to 8:00 PM, Friday Feb 20 from 3:00 PM to 8:00 PM, Friday Feb 27 from 3:00 PM to 8:00 PM, Friday Mar 6 from 3:00 PM to 8:00 PM, Friday Mar 13 from 3:00 PM to 8:00 PM, Friday Mar 20 from 3:00 PM to 8:00 PM, Friday Mar 27 from 3:00 PM to 8:00 PM, Friday Apr 3 from 3:00 PM to 8:00 PM",Helping raise funds for The Westinghouse Academy of Arts in Wilmerding. ,,,,,,,t,f,f,,t,,40.391554,-79.808476,"[{""dt_start"": ""2026-02-18T15:00:00"", ""dt_end"": ""2026-02-18T20:00:00""}, {""dt_start"": ""2026-02-20T15:00:00"", ""dt_end"": ""2026-02-20T20:00:00""}, {""dt_start"": ""2026-02-27T15:00:00"", ""dt_end"": ""2026-02-27T20:00:00""}, {""dt_start"": ""2026-03-06T15:00:00"", ""dt_end"": ""2026-03-06T20:00:00""}, {""dt_start"": ""2026-03-13T15:00:00"", ""dt_end"": ""2026-03-13T20:00:00""}, {""dt_start"": ""2026-03-20T15:00:00"", ""dt_end"": ""2026-03-20T20:00:00""}, {""dt_start"": ""2026-03-27T15:00:00"", ""dt_end"": ""2026-03-27T20:00:00""}, {""dt_start"": ""2026-04-03T15:00:00"", ""dt_end"": ""2026-04-03T20:00:00""}]"
6801,t,"St. Peter Church, St. Faustina Parish",Church,"670 South Main Street, Slippery Rock, Pennsylvania 16057, United States",https://stfaustinaparish.org,"Friday Feb 20 from 4:00 PM to 6:30 PM, Friday Feb 27 from 4:00 PM to 6:30 PM, Friday Mar 6 from 4:00 PM to 6:30 PM, Friday Mar 13 from 4:00 PM to 6:30 PM, Friday Mar 20 from 4:00 PM to 6:30 PM, Friday Mar 27 from 4:00 PM to 6:30 PM",,https://stfaustinaparish.org/lenten-fish-fry,,,,,,t,,f,,t,,41.05643,-80.05069,"[{""dt_start"": ""2026-02-20T16:00:00"", ""dt_end"": ""2026-02-20T18:30:00""}, {""dt_start"": ""2026-02-27T16:00:00"", ""dt_end"": ""2026-02-27T18:30:00""}, {""dt_start"": ""2026-03-06T16:00:00"", ""dt_end"": ""2026-03-06T18:30:00""}, {""dt_start"": ""2026-03-13T16:00:00"", ""dt_end"": ""2026-03-13T18:30:00""}, {""dt_start"": ""2026-03-20T16:00:00"", ""dt_end"": ""2026-03-20T18:30:00""}, {""dt_start"": ""2026-03-27T16:00:00"", ""dt_end"": ""2026-03-27T18:30:00""}]"
6802,t,Crabtree Volunteer Fire Department/St Bartholomew Parish,Fire Department,"388 Cemetery Road, Crabtree, Pennsylvania 15624, United States",https://www.facebook.com/CrabtreeVFD,"Friday Feb 20 from 4:30 PM to 7:00 PM, Friday Feb 27 from 4:30 PM to 7:00 PM, Friday Mar 6 from 4:30 PM to 7:00 PM, Friday Mar 13 from 4:30 PM to 7:00 PM, Friday Mar 20 from 4:30 PM to 7:00 PM, Friday Mar 27 from 4:30 PM to 7:00 PM, Wednesday Feb 18 from 4:30 PM to 7:00 PM, Friday Apr 3 from 4:30 PM to 7:00 PM",,https://www.facebook.com/photo/?fbid=1328246802667731&set=a.462285105930576,,"Marian Hall (downstairs), behind St. Bartholomew Church",724-834-9789 or 724-834-1028,,,t,,f,,t,,40.35993,-79.47066,"[{""dt_start"": ""2026-02-20T16:30:00"", ""dt_end"": ""2026-02-20T19:00:00""}, {""dt_start"": ""2026-02-27T16:30:00"", ""dt_end"": ""2026-02-27T19:00:00""}, {""dt_start"": ""2026-03-06T16:30:00"", ""dt_end"": ""2026-03-06T19:00:00""}, {""dt_start"": ""2026-03-13T16:30:00"", ""dt_end"": ""2026-03-13T19:00:00""}, {""dt_start"": ""2026-03-20T16:30:00"", ""dt_end"": ""2026-03-20T19:00:00""}, {""dt_start"": ""2026-03-27T16:30:00"", ""dt_end"": ""2026-03-27T19:00:00""}, {""dt_start"": ""2026-02-18T16:30:00"", ""dt_end"": ""2026-02-18T19:00:00""}, {""dt_start"": ""2026-04-03T16:30:00"", ""dt_end"": ""2026-04-03T19:00:00""}]"
6803,t,St. Aidan Parish,Church,"201 Church Road, Wexford, Pennsylvania 15090, United States",https://saintaidanparish.org/,"Friday Feb 20 from 4:30 PM to 7:00 PM, Friday Feb 27 from 4:30 PM to 7:00 PM, Friday Mar 6 from 4:30 PM to 7:00 PM, Friday Mar 13 from 4:30 PM to 7:00 PM, Friday Mar 20 from 4:30 PM to 7:00 PM, Friday Mar 27 from 4:30 PM to 7:00 PM, Wednesday Feb 18 from 4:30 PM to 7:00 PM, Friday Apr 3 from 4:30 PM to 7:00 PM",,https://www.fish-fry.org/home#h.p_B72y9FpDu6uB,,,724-931-0596,fishfry@saintaidanparish.org,,t,t,f,t,t,,40.62723,-80.05766,"[{""dt_start"": ""2026-02-20T16:30:00"", ""dt_end"": ""2026-02-20T19:00:00""}, {""dt_start"": ""2026-02-27T16:30:00"", ""dt_end"": ""2026-02-27T19:00:00""}, {""dt_start"": ""2026-03-06T16:30:00"", ""dt_end"": ""2026-03-06T19:00:00""}, {""dt_start"": ""2026-03-13T16:30:00"", ""dt_end"": ""2026-03-13T19:00:00""}, {""dt_start"": ""2026-03-20T16:30:00"", ""dt_end"": ""2026-03-20T19:00:00""}, {""dt_start"": ""2026-03-27T16:30:00"", ""dt_end"": ""2026-03-27T19:00:00""}, {""dt_start"": ""2026-02-18T16:30:00"", ""dt_end"": ""2026-02-18T19:00:00""}, {""dt_start"": ""2026-04-03T16:30:00"", ""dt_end"": ""2026-04-03T19:00:00""}]"
6804,t,St. George Maronite Church,Church,"6 Lebanon Terrace, Uniontown, Pennsylvania 15401, United States",https://www.stgeorgeuniontown.org/,,,https://www.stgeorgeuniontown.org/lenten-fish-fry,,,724-437-5589,,,t,,,,t,,39.902003,-79.718915,[]
6805,t,DJ's Cafe,Restaurant,"2068 Columbia Avenue, Tyrone, Pennsylvania 16686, United States",https://www.facebook.com/DJsCafeTyronePA/,"Friday Feb 20 from 11:00 AM to 8:00 PM, Friday Feb 27 from 11:00 AM to 8:00 PM, Friday Mar 6 from 11:00 AM to 8:00 PM, Friday Mar 13 from 11:00 AM to 8:00 PM, Friday Mar 20 from 11:00 AM to 8:00 PM, Friday Mar 27 from 11:00 AM to 8:00 PM, Friday Apr 3 from 11:00 AM to 8:00 PM",,,"Fish, chicken, or shrimp; mac & cheese; stewed or slaw; hush puppies; tarter & lemon; roll & butter $12.99",Eat in / take out / delivery,814-684-7851,,,t,,,,t,,40.68426,-78.239685,"[{""dt_start"": ""2026-02-20T11:00:00"", ""dt_end"": ""2026-02-20T20:00:00""}, {""dt_start"": ""2026-02-27T11:00:00"", ""dt_end"": ""2026-02-27T20:00:00""}, {""dt_start"": ""2026-03-06T11:00:00"", ""dt_end"": ""2026-03-06T20:00:00""}, {""dt_start"": ""2026-03-13T11:00:00"", ""dt_end"": ""2026-03-13T20:00:00""}, {""dt_start"": ""2026-03-20T11:00:00"", ""dt_end"": ""2026-03-20T20:00:00""}, {""dt_start"": ""2026-03-27T11:00:00"", ""dt_end"": ""2026-03-27T20:00:00""}, {""dt_start"": ""2026-04-03T11:00:00"", ""dt_end"": ""2026-04-03T20:00:00""}]"
6806,t,"St. Cecilia Church, Our Lady of the Valley Parish",Church,"643 California Avenue, Rochester, Pennsylvania 15074, United States",https://olotv.org,"Friday Feb 20 from 11:00 AM to 6:00 PM, Friday Feb 27 from 11:00 AM to 6:00 PM, Friday Mar 6 from 11:00 AM to 6:00 PM, Friday Mar 13 from 11:00 AM to 6:00 PM, Friday Mar 20 from 11:00 AM to 6:00 PM, Friday Mar 27 from 11:00 AM to 6:00 PM",,https://olotv.org/documents/2026/2/20260208B1.pdf,"OUR LADY OF THE VALLEY PARISH
Lenten Fridays 11:00 a.m. to 6:00 p.m.
Saint Cecilia Hall
643 California Avenue
ROCHESTER, PA 15074

CHESAPEAKE BAY DINNER (Fish, Shrimp, &
Crab Cake) $17
BAKED FISH DINNERS $16
FRIED FISH DINNERS 15
SHRIMP DINNERS $15
FISH OR SHRIMP SALADS $14
BAKED FISH SANDWICHES: $13
FRIED FISH SANDWICHES: $12
Dinners include coleslaw and choice of :
French Fries,
2. Mac & Cheese, or
3. Pierogies, Pie extra.

EAT IN or TAKE OUT
DELIVERY 11-1PM
724-775-3775, 724-709-7426
CREDIT CARDS ACCEPTED",credit cards accepted,724-775-3775 OR 724-709-7426,,,t,,t,,t,,40.71411,-80.285684,"[{""dt_start"": ""2026-02-20T11:00:00"", ""dt_end"": ""2026-02-20T18:00:00""}, {""dt_start"": ""2026-02-27T11:00:00"", ""dt_end"": ""2026-02-27T18:00:00""}, {""dt_start"": ""2026-03-06T11:00:00"", ""dt_end"": ""2026-03-06T18:00:00""}, {""dt_start"": ""2026-03-13T11:00:00"", ""dt_end"": ""2026-03-13T18:00:00""}, {""dt_start"": ""2026-03-20T11:00:00"", ""dt_end"": ""2026-03-20T18:00:00""}, {""dt_start"": ""2026-03-27T11:00:00"", ""dt_end"": ""2026-03-27T18:00:00""}]"
6807,t,"Our Lady of Joy Church, Holy Family Parish",Church,"2000 O'block Road, Plum, Pennsylvania 15239, United States",https://holyfamilypgh.org/fish-fry,"Wednesday Feb 18 from 4:00 PM to 7:00 PM, Friday Feb 20 from 4:00 PM to 7:00 PM, Friday Feb 27 from 4:00 PM to 7:00 PM, Friday Mar 6 from 4:00 PM to 7:00 PM, Friday Mar 13 from 4:00 PM to 7:00 PM, Friday Mar 27 from 4:00 PM to 7:00 PM, Friday Apr 3 from 4:00 PM to 7:00 PM",Dine in and take out,https://holyfamilypgh.org/fish-fry,,eat in or take out,412-828-9846,,,t,,f,,t,,40.480028,-79.71965,"[{""dt_start"": ""2026-02-18T16:00:00"", ""dt_end"": ""2026-02-18T19:00:00""}, {""dt_start"": ""2026-02-20T16:00:00"", ""dt_end"": ""2026-02-20T19:00:00""}, {""dt_start"": ""2026-02-27T16:00:00"", ""dt_end"": ""2026-02-27T19:00:00""}, {""dt_start"": ""2026-03-06T16:00:00"", ""dt_end"": ""2026-03-06T19:00:00""}, {""dt_start"": ""2026-03-13T16:00:00"", ""dt_end"": ""2026-03-13T19:00:00""}, {""dt_start"": ""2026-03-27T16:00:00"", ""dt_end"": ""2026-03-27T19:00:00""}, {""dt_start"": ""2026-04-03T16:00:00"", ""dt_end"": ""2026-04-03T19:00:00""}]"
6808,t,"Saints John and Paul Church Hall, Saint Luke the Evangelist Parish",Church,"2586 Wexford Bayne Road, Sewickley, Pennsylvania 15143, United States",https://saintluke.net/fishfry,"Friday Feb 20 from 4:00 PM to 7:00 PM, Friday Feb 27 from 4:00 PM to 7:00 PM, Friday Mar 6 from 4:00 PM to 7:00 PM, Friday Mar 13 from 4:00 PM to 7:00 PM, Friday Mar 20 from 4:00 PM to 7:00 PM, Friday Mar 27 from 4:00 PM to 7:00 PM, Wednesday Feb 18 from 4:00 PM to 7:00 PM",,https://saintluke.net/fishfry,"MEALS
Your choice of
Fried Fish Sandwich
Baked Fish Sandwich
Fried Shrimp
Includes 3 sides:
French fries
Mac & Cheese
Coleslaw
$17
A LA CARTE
Fried Fish Sandwich $12
Baked Fish Sandwich $12
Fried Shrimp $12
Pizza Slice $3
Side Portion
Mac in Cheese $3
Cole Slaw $3
French Fries $3",Online ordering available from 9-4 https://saintluke.net/fishfryorder,412-440-3044,,,t,,f,t,t,,40.608199,-80.105146,"[{""dt_start"": ""2026-02-20T16:00:00"", ""dt_end"": ""2026-02-20T19:00:00""}, {""dt_start"": ""2026-02-27T16:00:00"", ""dt_end"": ""2026-02-27T19:00:00""}, {""dt_start"": ""2026-03-06T16:00:00"", ""dt_end"": ""2026-03-06T19:00:00""}, {""dt_start"": ""2026-03-13T16:00:00"", ""dt_end"": ""2026-03-13T19:00:00""}, {""dt_start"": ""2026-03-20T16:00:00"", ""dt_end"": ""2026-03-20T19:00:00""}, {""dt_start"": ""2026-03-27T16:00:00"", ""dt_end"": ""2026-03-27T19:00:00""}, {""dt_start"": ""2026-02-18T16:00:00"", ""dt_end"": ""2026-02-18T19:00:00""}]"
